Team Name,Team City,lat,lon
Sea Salt,Bay Area,37.7884969,-122.3558473
Woosand,Boston,42.3602534,-71.0582912
Spring Chickens,Canada,37.6056575,-82.3243095
Ronrunner,Chicago,41.8755616,-87.6244212
Loose Seal,Crestone,37.9934647,-105.697274
USA Beach Masters,Everywhere,40.7126815,-73.7830451
Seltzbros,Flagstaff,35.1987522,-111.6518229
Long Beach ,Long Beach,33.7690164,-118.191604
Detox,Los Angeles,34.0536909,-118.242766
Point Break,Los Angeles,34.0536909,-118.242766
Stealth,Los Angeles,34.0536909,-118.242766
Tribe,Los Angeles,34.0536909,-118.242766
Viva,Los Angeles,34.0536909,-118.242766
Beach Boys USA,Lots of Cities,46.2983502,-119.2756531
Hammer or Bust,OC and Beyond,32.696461,-97.613322
San Diego Yacht Club,San Diego,32.7174202,-117.1627728
Bayonet,San Francisco,37.7790262,-122.419906
"Tanks Obama (Team USA, WCBU Mixed)",San Francisco,37.7790262,-122.419906
Santa Babe-ra,Santa Barbara,34.4221319,-119.7026673
Santa Gnarbrah,Santa Barbara,34.4221319,-119.7026673
Huck the Patriarchy beach,Seattle,47.6038321,-122.3300624
Sunbreaks,Seattle,47.6038321,-122.3300624
Moms Spaghetti,Temecula,33.4946353,-117.1473661
TCWM,Toronto,41.9050213,-90.8640346
Karma Bandits ,Tucson,32.2228765,-110.9748477
Grand M.U.S.A,USA,39.7837304,-100.4458825
Zone (Endless Sunset B),Huntington Beach,33.6783336,-118.0000166
Endless Sunset,San Diego,32.7174202,-117.1627728
'Merica,San Francisco,37.7790262,-122.419906
Kalakala,Seattle,47.6038321,-122.3300624
Team Canada GGM,Vancouver,45.6306954,-122.6744557
AK Pipeline,Akron,41.083064,-81.518485
Albany Airbenders,Albany,42.6511674,-73.754968
Albany Airbenders,Albany,42.6511674,-73.754968
Boomslang,Albany,42.6511674,-73.754968
All Bashed Out,Albany ,42.6511674,-73.754968
The Chad Larson Experience,Ames,42.0267703,-93.6170554
The Kevin Seiler Experience ,Ames,42.0267703,-93.6170554
Defy the Meta,Amherst,42.3685658,-72.505714
Happy Valley,Amherst,42.3685658,-72.505714
yEUTH-ANd-Age-SIA,Amherst,42.3685658,-72.505714
Big,Anchorage,61.2163129,-149.894852
Four,Ann Arbor,42.2681569,-83.7312291
Hybrid,Ann Arbor,42.2681569,-83.7312291
Mango Tree,Ann Arbor,42.2681569,-83.7312291
Rocket LawnChair,Ann Arbor,42.2681569,-83.7312291
SEMI,Ann Arbor,42.2681569,-83.7312291
Autonomous,Ann Arbor,42.2681569,-83.7312291
Green Bay Quackers,Appleton,44.2611337,-88.4067604
90s Babies,Arlington,32.701939,-97.1056238
