Team Name,Team City,Competition Level,Gender Division,lat,lon
Sea Salt,Bay Area,Beach,Women,37.7884969,-122.3558473
Woosand,Boston,Beach,Women,42.3602534,-71.0582912
Spring Chickens,Canada,Beach,Mixed,37.6056575,-82.3243095
Ronrunner,Chicago,Beach,Women,41.8755616,-87.6244212
Loose Seal,Crestone,Beach,Mixed,37.9934647,-105.697274
USA Beach Masters,Everywhere,Beach,Men,40.7126815,-73.7830451
Seltzbros,Flagstaff,Beach,Men,35.1987522,-111.6518229
Long Beach ,Long Beach,Beach,Mixed,33.7690164,-118.191604
Detox,Los Angeles,Beach,Men,34.0536909,-118.242766
Point Break,Los Angeles,Beach,Mixed,34.0536909,-118.242766
Stealth,Los Angeles,Beach,Men,34.0536909,-118.242766
Tribe,Los Angeles,Beach,Men,34.0536909,-118.242766
Viva,Los Angeles,Beach,Women,34.0536909,-118.242766
Beach Boys USA,Lots of Cities,Beach,Men,46.2983502,-119.2756531
Hammer or Bust,OC and Beyond,Beach,Mixed,32.696461,-97.613322
San Diego Yacht Club,San Diego,Beach,Women,32.7174202,-117.1627728
Bayonet,San Francisco,Beach,Men,37.7790262,-122.419906
"Tanks Obama (Team USA, WCBU Mixed)",San Francisco,Beach,Mixed,37.7790262,-122.419906
Santa Babe-ra,Santa Barbara,Beach,Women,34.4221319,-119.7026673
Santa Gnarbrah,Santa Barbara,Beach,Men,34.4221319,-119.7026673
Huck the Patriarchy beach,Seattle,Beach,Women,47.6038321,-122.3300624
Sunbreaks,Seattle,Beach,Women,47.6038321,-122.3300624
Moms Spaghetti,Temecula,Beach,Men,33.4946353,-117.1473661
TCWM,Toronto,Beach,Women,41.9050213,-90.8640346
Karma Bandits ,Tucson,Beach,Men,32.2228765,-110.9748477
Grand M.U.S.A,USA,Beach,Men,39.7837304,-100.4458825
Zone (Endless Sunset B),Huntington Beach,Beach Grand Masters,Men,33.6783336,-118.0000166
Endless Sunset,San Diego,Beach Grand Masters,Men,32.7174202,-117.1627728
'Merica,San Francisco,Beach Grand Masters,Men,37.7790262,-122.419906
Kalakala,Seattle,Beach Grand Masters,Men,47.6038321,-122.3300624
